Number    Value       Result                                  
232       3.31        1.7618154353647306                      
233       3.32        Odd_min error: log argument < 0         
234       3.33        1.770885195232782                       
235       3.34        Odd_min error: log argument < 0         
236       3.35        1.7803477196177706                      
237       3.36        Odd_min error: log argument < 0         
238       3.37        1.7902263181364872                      
239       3.38        Odd_min error: log argument < 0         
240       3.39        1.8005468035544616                      
241       3.40        Odd_min error: log argument < 0         
242       3.41        1.8113378565196856                      
243       3.42        Odd_min error: log argument < 0         
244       3.43        1.8226314596133737                      
245       3.44        Odd_min error: log argument < 0         
246       3.45        1.8344634171387517                      
247       3.46        Odd_min error: log argument < 0         
248       3.47        1.8468739817947404                      
249       3.48        Odd_min error: log argument < 0         
250       3.49        1.8599086157293319                      
251       3.50        Odd_min error: log argument < 0         
252       3.51        1.87361892209157                        
253       3.52        Odd_min error: log argument < 0         
254       3.53        1.888063795060919                       
255       3.54        Odd_min error: log argument < 0         
256       3.55        1.9033108528639566                      
257       3.56        Odd_min error: log argument < 0         
258       3.57        1.9194382416682956                      
259       3.58        Odd_min error: log argument < 0         
260       3.59        1.9365369318362569                      
261       3.60        Odd_min error: log argument < 0         
262       3.61        1.9547136771423195                      
263       3.62        Odd_min error: log argument < 0         
264       3.63        1.974094880775534                       
265       3.64        Odd_min error: log argument < 0         
266       3.65        1.9948317234367274                      
267       3.66        Odd_min error: log argument < 0         
268       3.67        2.017107082688069                       
269       3.68        Odd_min error: log argument < 0         
270       3.69        2.0411450511248104                      
271       3.70        Odd_min error: log argument < 0         
272       3.71        2.067224320467497                       
273       3.72        Odd_min error: log argument < 0         
274       3.73        2.0956974836924926                      
275       3.74        Odd_min error: log argument < 0         
276       3.75        2.127019702605255                       
277       3.76        Odd_min error: log argument < 0         
278       3.77        2.1617927855492804                      
279       3.78        Odd_min error: log argument < 0         
280       3.79        2.200835826267588                       
281       3.80        Odd_min error: log argument < 0         
282       3.81        2.245304276254037                       
283       3.82        Odd_min error: log argument < 0         
284       3.83        2.296903728631443                       
285       3.84        Odd_min error: log argument < 0         
286       3.85        2.3583062281303504                      
287       3.86        Odd_min error: log argument < 0         
288       3.87        2.434054403217722                       
289       3.88        Odd_min error: log argument < 0         
290       3.89        2.5328559539757585                      
291       3.90        Odd_min error: log argument < 0         
292       3.91        2.675030167913249                       
293       3.92        -0.005485517880709195                   
294       3.93        2.9315541204120814                      
295       3.94        -0.005595668508780799                   
296       3.95        Even_max error: log argument < 0        
297       3.96        -0.00570358094405681                    
298       3.97        Even_max error: log argument < 0        
299       3.98        -0.00580921202300193                    
300       3.99        Even_max error: log argument < 0        
301       4.00        -0.005912519494592977                   
302       4.01        Even_max error: log argument < 0        
303       4.02        -0.006013462037218728                   
304       4.03        Even_max error: log argument < 0        
305       4.04        -0.006111999275208017                   
306       4.05        Even_max error: log argument < 0        
307       4.06        -0.0062080917949794605                  
308       4.07        Even_max error: log argument < 0        
309       4.08        -0.0063017011608063654                  
310       4.09        Even_max error: log argument < 0        
311       4.10        -0.00639278993019051                    
312       4.11        Even_max error: log argument < 0        
313       4.12        -0.006481321668838641                   
314       4.13        Even_max error: log argument < 0        
315       4.14        -0.006567260965235707                   
316       4.15        Even_max error: log argument < 0        
317       4.16        -0.00665057344480899                    
318       4.17        Even_max error: log argument < 0        
319       4.18        -0.006731225783677481                   
320       4.19        Even_max error: log argument < 0        
321       4.20        -0.006809185721980981                   
322       4.21        Even_max error: log argument < 0        
323       4.22        -0.0068844220767836205                  
324       4.23        Even_max error: log argument < 0        
325       4.24        -0.006956904754546618                   
