Number    Value       Result                                  
736       8.35        1.6070818630137158                      
737       8.36        Odd_min error: log argument < 0         
738       8.37        1.6050548832674485                      
739       8.38        Odd_min error: log argument < 0         
740       8.39        1.603170937458213                       
741       8.40        Odd_min error: log argument < 0         
742       8.41        1.6014283938062162                      
743       8.42        Odd_min error: log argument < 0         
744       8.43        1.5998257595878933                      
745       8.44        Odd_min error: log argument < 0         
746       8.45        1.5983616758488775                      
747       8.46        Odd_min error: log argument < 0         
748       8.47        1.5970349126616763                      
749       8.48        Odd_min error: log argument < 0         
750       8.49        1.5958443648918972                      
751       8.50        Odd_min error: log argument < 0         
752       8.51        1.594789048441296                       
753       8.52        Odd_min error: log argument < 0         
754       8.53        1.5938680969399088                      
755       8.54        Odd_min error: log argument < 0         
756       8.55        1.5930807588632518                      
757       8.56        Odd_min error: log argument < 0         
758       8.57        1.592426395053927                       
759       8.58        Odd_min error: log argument < 0         
760       8.59        1.591904476630048                       
761       8.60        Odd_min error: log argument < 0         
762       8.61        1.591514583265851                       
763       8.62        Odd_min error: log argument < 0         
764       8.63        1.5912564018325117                      
765       8.64        Odd_min error: log argument < 0         
766       8.65        1.5911297253898062                      
767       8.66        Odd_min error: log argument < 0         
768       8.67        1.5911344525216922                      
769       8.68        Odd_min error: log argument < 0         
770       8.69        1.5912705870112642                      
771       8.70        Odd_min error: log argument < 0         
772       8.71        1.5915382378528726                      
773       8.72        Odd_min error: log argument < 0         
774       8.73        1.5919376196014845                      
775       8.74        Odd_min error: log argument < 0         
776       8.75        1.5924690530616752                      
777       8.76        Odd_min error: log argument < 0         
778       8.77        1.593132966320949                       
779       8.78        Odd_min error: log argument < 0         
780       8.79        1.593929896134497                       
781       8.80        Odd_min error: log argument < 0         
782       8.81        1.594860489670946                       
783       8.82        Odd_min error: log argument < 0         
784       8.83        1.5959255066312297                      
785       8.84        Odd_min error: log argument < 0         
786       8.85        1.5971258217554722                      
787       8.86        Odd_min error: log argument < 0         
788       8.87        1.5984624277356465                      
789       8.88        Odd_min error: log argument < 0         
790       8.89        1.5999364385548982                      
791       8.90        Odd_min error: log argument < 0         
792       8.91        1.6015490932778584                      
793       8.92        Odd_min error: log argument < 0         
794       8.93        1.603301760319886                       
795       8.94        Odd_min error: log argument < 0         
796       8.95        1.6051959422273177                      
797       8.96        Odd_min error: log argument < 0         
798       8.97        1.607233281005247                       
799       8.98        Odd_min error: log argument < 0         
800       8.99        1.6094155640342809                      
801       9.00        Odd_min error: log argument < 0         
802       9.01        1.6117447306233956                      
803       9.02        Odd_min error: log argument < 0         
804       9.03        1.6142228792520472                      
805       9.04        Odd_min error: log argument < 0         
806       9.05        1.616852275561838                       
807       9.06        Odd_min error: log argument < 0         
808       9.07        1.6196353611658116                      
809       9.08        Odd_min error: log argument < 0         
810       9.09        1.6225747633523642                      
811       9.10        Odd_min error: log argument < 0         
812       9.11        1.6256733057709727                      
813       9.12        Odd_min error: log argument < 0         
814       9.13        1.628934020198405                       
815       9.14        Odd_min error: log argument < 0         
816       9.15        1.6323601594972446                      
817       9.16        Odd_min error: log argument < 0         
818       9.17        1.635955211893805                       
819       9.18        Odd_min error: log argument < 0         
820       9.19        1.6397229167197993                      
821       9.20        Odd_min error: log argument < 0         
822       9.21        1.643667281782156                       
823       9.22        Odd_min error: log argument < 0         
824       9.23        1.647792602548766                       
825       9.24        Odd_min error: log argument < 0         
826       9.25        1.6521034833645776                      
827       9.26        Odd_min error: log argument < 0         
828       9.27        1.6566048609440942                      
829       9.28        Odd_min error: log argument < 0         
830       9.29        1.661302030422717                       
831       9.30        Odd_min error: log argument < 0         
832       9.31        1.6662006742922348                      
833       9.32        Odd_min error: log argument < 0         
834       9.33        1.671306894596347                       
835       9.34        Odd_min error: log argument < 0         
836       9.35        1.6766272488211715                      
837       9.36        Odd_min error: log argument < 0         
838       9.37        1.6821687899863607                      
839       9.38        Odd_min error: log argument < 0         
840       9.39        1.687939111525751                       
841       9.40        Odd_min error: log argument < 0         
842       9.41        1.693946397646098                       
843       9.42        Odd_min error: log argument < 0         
844       9.43        1.7001994799719415                      
845       9.44        Odd_min error: log argument < 0         
846       9.45        1.7067079014278936                      
847       9.46        Odd_min error: log argument < 0         
848       9.47        1.7134819884828676                      
849       9.48        Odd_min error: log argument < 0         
850       9.49        1.7205329330912074                      
851       9.50        Odd_min error: log argument < 0         
852       9.51        1.7278728859217338                      
853       9.52        Odd_min error: log argument < 0         
854       9.53        1.7355150627797262                      
855       9.54        Odd_min error: log argument < 0         
856       9.55        1.7434738665141096                      
857       9.56        Odd_min error: log argument < 0         
858       9.57        1.7517650271808594                      
859       9.58        Odd_min error: log argument < 0         
860       9.59        1.760405763831548                       
861       9.60        Odd_min error: log argument < 0         
862       9.61        1.769414972044723                       
863       9.62        Odd_min error: log argument < 0         
864       9.63        1.7788134422634772                      
865       9.64        Odd_min error: log argument < 0         
866       9.65        1.7886241152053508                      
867       9.66        Odd_min error: log argument < 0         
868       9.67        1.7988723821500578                      
869       9.68        Odd_min error: log argument < 0         
870       9.69        1.8095864398996075                      
871       9.70        Odd_min error: log argument < 0         
872       9.71        1.8207977127940576                      
873       9.72        Odd_min error: log argument < 0         
874       9.73        1.8325413575681588                      
875       9.74        Odd_min error: log argument < 0         
876       9.75        1.844856871348533                       
877       9.76        Odd_min error: log argument < 0         
878       9.77        1.8577888291427778                      
879       9.78        Odd_min error: log argument < 0         
880       9.79        1.8713877853782446                      
881       9.80        Odd_min error: log argument < 0         
882       9.81        1.885711385312291                       
883       9.82        Odd_min error: log argument < 0         
884       9.83        1.9008257478003339                      
885       9.84        Odd_min error: log argument < 0         
886       9.85        1.9168072030088583                      
887       9.86        Odd_min error: log argument < 0         
888       9.87        1.9337445003349019                      
889       9.88        Odd_min error: log argument < 0         
890       9.89        1.951741647971321                       
891       9.90        Odd_min error: log argument < 0         
892       9.91        1.9709216141723918                      
893       9.92        Odd_min error: log argument < 0         
894       9.93        1.9914312243818573                      
895       9.94        Odd_min error: log argument < 0         
896       9.95        2.0134477500812826                      
897       9.96        Odd_min error: log argument < 0         
898       9.97        2.0371879430168054                      
899       9.98        Odd_min error: log argument < 0         
900       9.99        2.0629206918155347                      
901       10.00       Odd_min error: log argument < 0         
